Date,Open^GSPC,High^GSPC,Low^GSPC,Close^GSPC,AClose^GSPC,Volume^GSPC,Open^DJI,High^DJI,Low^DJI,Close^DJI,AClose^DJI,Volume^DJI
2000-06-01,1420.6,1448.81,1420.6,1448.81,1448.81,960100000,10532.27,10673.45,10513.08,10652.2,10652.2,183990000
2000-06-02,1448.81,1483.23,1448.81,1477.26,1477.26,1162400000,10660.09,10846.08,10660.09,10794.76,10794.76,200900000
2000-06-05,1477.26,1477.28,1464.68,1467.63,1467.63,838600000,10793.11,10863.0,10752.28,10815.3,10815.3,151120000
2000-06-06,1467.63,1471.36,1454.74,1457.84,1457.84,950100000,10822.61,10822.61,10707.72,10735.57,10735.57,169370000
2000-06-07,1457.84,1474.64,1455.06,1471.36,1471.36,854600000,10733.48,10848.38,10695.18,10812.86,10812.86,154430000
2000-06-08,1471.36,1475.65,1456.49,1461.67,1461.67,854300000,10818.78,10823.66,10635.73,10668.72,10668.72,176280000
2000-06-09,1461.67,1472.67,1454.96,1456.95,1456.95,786000000,10678.47,10763.77,10588.29,10614.06,10614.06,136750000
2000-06-12,1456.95,1462.93,1445.99,1446.0,1446.0,774100000,10615.12,10652.59,10564.21,10564.21,10564.21,136750000
2000-06-13,1446.0,1470.42,1442.38,1469.44,1469.44,935900000,10562.31,10654.72,10492.79,10621.84,10621.84,155190000
2000-06-14,1469.44,1483.62,1467.71,1470.54,1470.54,929700000,10632.46,10737.71,10624.68,10687.95,10687.95,166340000
2000-06-15,1470.54,1482.04,1464.62,1478.73,1478.73,1011400000,10689.63,10763.7,10669.21,10714.82,10714.82,176200000
2000-06-16,1478.73,1480.77,1460.42,1464.46,1464.46,1250800000,10717.76,10724.83,10449.3,10449.3,10449.3,233100000
2000-06-19,1464.46,1488.93,1459.05,1486.0,1486.0,921700000,10448.4,10597.44,10440.11,10557.84,10557.84,169330000
2000-06-20,1486.0,1487.32,1470.18,1475.95,1475.95,1031500000,10558.9,10561.38,10407.94,10435.16,10435.16,179000000
2000-06-21,1475.95,1482.19,1468.0,1479.13,1479.13,1009600000,10446.83,10521.07,10410.06,10497.74,10497.74,204540000
2000-06-22,1479.13,1479.13,1448.03,1452.18,1452.18,1022700000,10495.97,10495.97,10335.46,10376.12,10376.12,189280000
2000-06-23,1452.18,1459.94,1438.31,1441.48,1441.48,847600000,10376.47,10478.65,10376.47,10404.75,10404.75,142390000
2000-06-26,1441.48,1459.66,1441.48,1455.31,1455.31,889000000,10403.69,10566.68,10403.69,10542.99,10542.99,157390000
2000-06-27,1455.31,1463.35,1450.55,1450.55,1450.55,1042500000,10541.58,10615.83,10504.46,10504.46,10504.46,159240000
2000-06-28,1450.55,1467.63,1450.55,1454.82,1454.82,1095100000,10506.39,10620.42,10506.39,10527.79,10527.79,189270000
2000-06-29,1454.82,1455.14,1434.63,1442.39,1442.39,1110900000,10523.9,10523.9,10359.5,10398.04,10398.04,168670000
2000-06-30,1442.39,1454.68,1438.71,1454.6,1454.6,1459700000,10393.09,10448.24,10336.16,10447.89,10447.89,224060000
2000-07-03,1454.6,1469.58,1450.85,1469.54,1469.54,451900000,10450.36,10565.62,10422.08,10560.67,10560.67,74690000
2000-07-05,1469.54,1469.54,1442.45,1446.23,1446.23,1019300000,10538.23,10572.69,10463.18,10483.6,10483.6,154490000
2000-07-06,1446.23,1461.65,1439.56,1456.67,1456.67,947300000,10481.45,10527.79,10393.09,10481.47,10481.47,147120000
2000-07-07,1456.67,1484.12,1456.67,1478.9,1478.9,931700000,10483.33,10658.25,10483.33,10635.98,10635.98,158820000
2000-07-10,1478.9,1486.56,1474.76,1475.62,1475.62,838700000,10627.14,10703.15,10604.86,10646.58,10646.58,148470000
2000-07-11,1475.62,1488.77,1470.48,1480.88,1480.88,980500000,10649.06,10807.45,10626.79,10727.19,10727.19,160920000
2000-07-12,1480.88,1497.69,1480.88,1492.92,1492.92,1001200000,10722.24,10834.32,10722.24,10783.76,10783.76,151430000
2000-07-13,1492.92,1501.39,1489.65,1495.84,1495.84,1026800000,10774.92,10829.73,10754.42,10788.71,10788.71,175240000
2000-07-14,1495.84,1509.99,1494.56,1509.98,1509.98,960600000,10793.31,10821.95,10753.71,10812.75,10812.75,150970000
2000-07-17,1509.98,1517.32,1505.26,1510.49,1510.49,906000000,10812.4,10847.4,10749.47,10804.27,10804.27,162780000
2000-07-18,1510.49,1510.49,1491.35,1493.74,1493.74,908300000,10799.16,10799.16,10703.06,10739.92,10739.92,170620000
2000-07-19,1493.74,1495.63,1479.92,1481.96,1481.96,909400000,10724.15,10790.48,10685.48,10696.08,10696.08,213930000
2000-07-20,1481.96,1501.92,1481.96,1495.57,1495.57,1064600000,10700.68,10874.63,10700.68,10843.87,10843.87,178590000
2000-07-21,1495.57,1495.57,1477.91,1480.19,1480.19,968300000,10843.51,10851.65,10716.15,10733.56,10733.56,170710000
2000-07-24,1480.19,1485.88,1463.8,1464.29,1464.29,880300000,10731.44,10778.11,10678.4,10685.12,10685.12,147970000
2000-07-25,1464.29,1476.23,1464.29,1474.47,1474.47,969400000,10689.28,10744.52,10680.17,10699.97,10699.97,168950000
2000-07-26,1474.47,1474.47,1452.42,1452.42,1452.42,1235800000,10689.36,10692.55,10516.48,10516.48,10516.48,201880000
2000-07-27,1452.42,1464.91,1445.33,1449.62,1449.62,1156400000,10516.83,10643.4,10516.83,10586.13,10586.13,160760000
2000-07-28,1449.62,1456.68,1413.89,1419.89,1419.89,980000000,10594.97,10649.06,10464.5,10511.17,10511.17,174720000
2000-07-31,1419.89,1437.65,1418.71,1430.83,1430.83,952600000,10514.29,10603.29,10497.8,10521.98,10521.98,175820000
2000-08-01,1430.83,1443.54,1428.96,1438.1,1438.1,938700000,10523.81,10626.92,10516.76,10606.95,10606.95,151420000
2000-08-02,1438.1,1451.59,1433.49,1438.7,1438.7,994500000,10609.15,10724.53,10587.54,10687.53,10687.53,163400000
2000-08-03,1438.7,1454.19,1425.43,1452.56,1452.56,1095600000,10679.37,10744.31,10623.44,10706.58,10706.58,161580000
2000-08-04,1452.56,1462.93,1451.31,1462.93,1462.93,956000000,10713.36,10769.95,10664.46,10767.75,10767.75,150750000
2000-08-07,1462.93,1480.8,1460.72,1479.32,1479.32,854800000,10773.98,10892.28,10736.98,10867.01,10867.01,145090000
2000-08-08,1479.32,1484.52,1472.61,1482.8,1482.8,992200000,10865.15,10988.25,10836.61,10976.89,10976.89,204720000
2000-08-09,1482.8,1490.33,1471.16,1472.87,1472.87,1054000000,10970.94,10978.27,10892.65,10905.83,10905.83,186430000
2000-08-10,1472.87,1475.15,1459.89,1460.25,1460.25,940800000,10901.06,10946.49,10886.79,10908.76,10908.76,144290000
2000-08-11,1460.25,1475.72,1453.06,1471.84,1471.84,835500000,10905.98,11067.73,10902.68,11027.8,11027.8,155120000
2000-08-14,1471.84,1491.64,1468.56,1491.56,1491.56,783800000,11027.07,11177.61,11006.19,11176.14,11176.14,140280000
2000-08-15,1491.56,1493.12,1482.74,1484.43,1484.43,895900000,11175.05,11175.05,11046.12,11067.0,11067.0,155190000
2000-08-16,1484.43,1496.09,1475.74,1479.85,1479.85,929800000,11068.83,11088.97,10961.14,11008.39,11008.39,162550000
2000-08-17,1479.85,1499.32,1479.85,1496.07,1496.07,922400000,11010.95,11091.54,10984.4,11055.64,11055.64,177570000
2000-08-18,1496.07,1499.47,1488.99,1491.72,1491.72,821400000,11051.2,11082.38,11006.19,11046.48,11046.48,164870000
2000-08-21,1491.72,1502.84,1491.13,1499.48,1499.48,731600000,11058.85,11106.19,11027.07,11079.81,11079.81,147300000
2000-08-22,1499.48,1508.45,1497.42,1498.13,1498.13,818800000,11082.2,11189.7,11081.28,11139.15,11139.15,146810000
2000-08-23,1498.13,1507.2,1489.52,1505.97,1505.97,871000000,11130.55,11172.3,11059.67,11144.65,11144.65,145650000
2000-08-24,1505.97,1511.16,1501.25,1508.31,1508.31,837100000,11143.91,11197.76,11120.1,11182.74,11182.74,143970000
2000-08-25,1508.31,1513.47,1505.09,1506.45,1506.45,685600000,11182.74,11210.94,11155.63,11192.63,11192.63,127920000
2000-08-28,1506.45,1523.95,1506.45,1514.09,1514.09,733600000,11194.48,11319.06,11188.93,11252.84,11252.84,166710000
2000-08-29,1514.09,1514.81,1505.46,1509.84,1509.84,795600000,11249.27,11256.17,11196.6,11215.1,11215.1,149300000
2000-08-30,1509.84,1510.49,1500.09,1502.59,1502.59,818400000,11209.01,11210.29,11096.35,11103.01,11103.01,146490000
2000-08-31,1502.59,1525.21,1502.59,1517.68,1517.68,1056600000,11105.23,11310.55,11104.86,11215.1,11215.1,183320000
2000-09-01,1517.68,1530.09,1515.53,1520.77,1520.77,767700000,11219.54,11313.6,11219.54,11238.78,11238.78,125140000
2000-09-05,1520.77,1520.77,1504.21,1507.08,1507.08,838500000,11221.76,11301.67,11184.77,11260.61,11260.61,174500000
2000-09-06,1507.08,1512.61,1492.12,1492.25,1492.25,995100000,11253.58,11401.19,11253.21,11310.64,11310.64,224760000
2000-09-07,1492.25,1505.34,1492.25,1502.51,1502.51,985500000,11316.01,11323.87,11223.24,11259.87,11259.87,222220000
2000-09-08,1502.51,1502.51,1489.88,1494.5,1494.5,961000000,11261.72,11261.72,11191.05,11220.65,11220.65,181620000
2000-09-11,1494.5,1506.76,1483.01,1489.26,1489.26,899300000,11219.54,11286.13,11139.26,11195.49,11195.49,160120000
2000-09-12,1489.26,1496.93,1479.67,1481.99,1481.99,991200000,11197.71,11255.8,11113.73,11233.23,11233.23,172030000
2000-09-13,1481.99,1487.45,1473.61,1484.91,1484.91,1068300000,11225.03,11231.01,11140.74,11182.18,11182.18,216210000
2000-09-14,1484.91,1494.16,1476.73,1480.87,1480.87,1014000000,11189.58,11208.07,11069.34,11087.47,11087.47,218810000
2000-09-15,1480.87,1480.96,1460.22,1465.81,1465.81,1268400000,11087.84,11110.04,10916.92,10927.0,10927.0,291270000
2000-09-18,1465.81,1467.77,1441.92,1444.51,1444.51,962500000,10926.42,10935.58,10798.17,10808.52,10808.52,198950000
2000-09-19,1444.51,1461.16,1444.51,1459.9,1459.9,1024900000,10812.22,10839.14,10761.91,10789.29,10789.29,214080000
2000-09-20,1459.9,1460.49,1430.95,1451.34,1451.34,1104000000,10794.47,10824.06,10567.32,10687.92,10687.92,243780000
2000-09-21,1451.34,1452.77,1436.3,1449.05,1449.05,1105400000,10680.52,10783.37,10660.54,10765.52,10765.52,186170000
2000-09-22,1449.05,1449.05,1421.88,1448.72,1448.72,1185500000,10678.3,10858.1,10621.7,10847.37,10847.37,487370000
2000-09-25,1448.72,1457.42,1435.93,1439.03,1439.03,982400000,10847.37,10897.31,10783.0,10808.15,10808.15,259920000
2000-09-26,1439.03,1448.04,1425.25,1427.21,1427.21,1106600000,10806.3,10813.24,10615.78,10631.32,10631.32,321770000
2000-09-27,1427.21,1437.22,1419.44,1426.57,1426.57,1174700000,10631.32,10678.67,10579.52,10628.36,10628.36,271660000
2000-09-28,1426.57,1461.69,1425.78,1458.29,1458.29,1206200000,10629.84,10856.25,10623.18,10824.06,10824.06,233190000
2000-09-29,1458.29,1458.29,1436.29,1436.51,1436.51,1197100000,10821.4,10821.4,10650.55,10650.92,10650.92,236360000
2000-10-02,1436.52,1445.6,1429.83,1436.23,1436.23,1051200000,10659.06,10721.22,10631.32,10700.13,10700.13,215090000
2000-10-03,1436.23,1454.82,1425.28,1426.46,1426.46,1098100000,10709.84,10857.73,10709.84,10719.74,10719.74,259600000
2000-10-04,1426.46,1439.99,1416.31,1434.32,1434.32,1167400000,10723.33,10849.96,10713.62,10784.48,10784.48,264380000
2000-10-05,1434.32,1444.17,1431.8,1436.28,1436.28,1176100000,10783.72,10843.3,10722.7,10724.92,10724.92,217400000
2000-10-06,1436.28,1443.3,1397.06,1408.99,1408.99,1150100000,10726.76,10779.85,10518.85,10596.54,10596.54,237860000
2000-10-09,1408.99,1409.69,1392.48,1402.03,1402.03,716600000,10596.91,10641.31,10546.23,10568.43,10568.43,167770000
2000-10-10,1402.03,1408.83,1383.85,1387.02,1387.02,1044000000,10569.17,10623.55,10488.89,10524.4,10524.4,212070000
2000-10-11,1387.02,1387.02,1349.67,1364.59,1364.59,1387500000,10521.07,10566.58,10350.89,10413.79,10413.79,324520000
2000-10-12,1364.59,1374.93,1328.06,1329.78,1329.78,1388600000,10424.14,10460.4,10023.49,10034.58,10034.58,367130000
2000-10-13,1329.78,1374.17,1327.08,1374.17,1374.17,1223900000,10031.62,10208.09,10014.24,10192.18,10192.18,300410000
2000-10-16,1374.17,1379.48,1365.06,1374.62,1374.62,1005400000,10184.78,10272.09,10177.76,10238.8,10238.8,270220000
2000-10-17,1374.62,1380.99,1342.34,1349.97,1349.97,1161500000,10242.87,10293.92,10026.45,10089.71,10089.71,253140000
2000-10-18,1349.97,1356.65,1305.79,1342.13,1342.13,1441700000,10085.99,10085.99,9654.64,9975.02,9975.02,372410000
